id,mac_address,device_id,port_name,vlan_id,timestamp,observation_confidence,edge_likelihood,transit_likelihood
145600,18:FD:74:D4:D1:32,CRS326-Office,ether2,,1772840164,0.455555555555556,0.455555555555556,0.5
145601,28:80:88:6D:98:EC,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145602,D4:01:C3:69:81:25,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145603,B0:41:6F:16:3C:41,CRS326-Office,ether22,,1772840164,0.9,1.0,0.0
145604,BC:24:11:12:EC:28,CRS326-Office,ether22,,1772840164,0.9,1.0,0.0
145605,BC:24:11:9C:99:D5,CRS326-Office,ether22,,1772840164,0.9,1.0,0.0
145606,BC:24:11:DB:F7:4F,CRS326-Office,ether22,,1772840164,0.9,1.0,0.0
145607,00:16:3E:1F:05:EC,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145608,38:05:25:30:38:38,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145609,38:05:25:30:38:39,CRS326-Office,ether17,,1772840164,0.9,1.0,0.0
145610,38:05:25:30:48:78,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145611,38:05:25:30:48:79,CRS326-Office,ether19,,1772840164,0.9,1.0,0.0
145612,3C:EC:EF:D0:85:6A,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145613,6C:1F:F7:28:9C:5B,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145614,6C:3B:E5:7A:A1:3E,CRS326-Office,ether9,,1772840164,0.9,1.0,0.0
145615,70:85:C2:41:A9:6B,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145616,B0:41:6F:12:74:16,CRS326-Office,ether21,,1772840164,0.9,1.0,0.0
145617,BC:24:11:01:68:7A,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145618,BC:24:11:0A:C8:EF,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145619,BC:24:11:27:76:6B,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145620,BC:24:11:2A:C6:57,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145621,BC:24:11:52:4C:E7,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145622,BC:24:11:99:92:B7,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145623,BC:24:11:A5:17:D3,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
145624,BC:24:11:BD:1A:CB,CRS326-Office,sfp-sfpplus2,,1772840164,0.213725490196078,0.125490196078431,0.784313725490196
