id,mac_address,best_ip,hostname,manufacturer,switch_device_id,switch_port,vlan_id,discovery_protocol,remote_identity,remote_platform,first_seen,last_seen,confidence,device_type,device_type_source,device_type_confidence,human_confirmed,human_label,disposition,is_infrastructure,switch_binding_source
1,18:FD:74:00:81:F3,fe80::1afd:74ff:fe00:81f3,"WebNX CGNAT 3",Routerboard.com,,,,LLDP/MNDP,"WebNX CGNAT 3",MikroTik,1772245670,1772841278,0.7,network_equipment,oui,0.6,1,,ignored,,auto
2,18:FD:74:00:6E:1F,162.210.21.1,cr0.119-north-600-west-bldg-3b.ogden.ut.us.bb.as399282.net,Routerboard.com,,,,LLDP/MNDP,cr0.119-north-600-west-bldg-3b.ogden.ut.us.bb.as399282.net,MikroTik,1772245670,1772841278,0.7,network_equipment,oui,0.6,1,"Public IP",ignored,,auto
4,48:A9:8A:18:4B:29,,"WEBNX CGNAT 2",Routerboard.com,,,,LLDP/MNDP,"WEBNX CGNAT 2",MikroTik,1772245670,1772841278,0.5,network_equipment,oui,0.6,1,,ignored,,auto
6,00:0C:29:A5:84:24,192.168.14.1,"WEBNX DHCP Vengeance","VMware, Inc.",,,,LLDP/MNDP,"WEBNX DHCP Vengeance",MikroTik,1772245670,1772841278,0.7,server,oui,0.6,1,,ignored,,auto
7,18:FD:74:00:84:A8,209.147.108.1,"ViaWest CGNAT 1*",Routerboard.com,,,,LLDP/MNDP,"ViaWest CGNAT 1*",MikroTik,1772245670,1772841278,0.7,network_equipment,oui,0.6,1,,ignored,,auto
8,70:A7:41:34:82:BC,,"","Ubiquiti Inc",,,,LLDP/MNDP,"","",1772245670,1772841278,0.5,network_equipment,oui,0.6,1,,ignored,,auto
358,70:85:C2:97:79:FF,10.20.30.93,"","ASRock Incorporation",CRS326-Office,sfp-sfpplus2,30,LLDP/MNDP,"","",1772248427,1772841278,1.0,computer,human,1.0,1,"Viscid 6",my_device,,auto
587,80:3F:5D:16:90:02,10.2.2.11,"","Winstars Technology Ltd",,,2,LLDP/MNDP,"","",1772249987,1772841278,0.85,,,0.0,1,"Docking station?",my_device,,auto
595,78:55:36:07:B4:C6,10.20.30.83,"","shenzhen AZW Technology(Group) Co.,Ltd",CRS326-Office,ether10,30,LLDP/MNDP,"","",1772249987,1772841278,1.0,computer,human,1.0,1,MamaBear,my_device,,auto
731,BC:24:11:99:92:B7,10.20.25.18,dockeryard,"Proxmox Server Solutions GmbH",Netgear-MS510TXPP,xg10,25,,,,1772250808,1772841278,0.85,server,oui,0.6,1,,my_device,,auto
732,EC:71:DB:B2:01:34,192.168.99.4,eth0,"Reolink Innovation Limited",CSS106-Office,106-o-p2-nvr,99,,,,1772250808,1772841278,0.85,camera,oui,0.6,1,,my_device,,auto
734,20:36:26:D7:ED:C0,10.2.2.7,"UP 20-36-26-D7-ED-C0","TP-Link Systems Inc",Netgear-MS510TXPP,mg6,2,,,,1772250808,1772841278,0.85,access_point,human,1.0,1,,my_device,,human
735,6C:1F:F7:5A:9C:64,10.20.30.85,chs-scout1,"Ugreen Group Limited",CRS326-Office,ether12,30,,,,1772250808,1772841278,0.85,,,0.0,1,,my_device,,auto
736,BC:24:11:0A:C8:EF,10.20.25.27,game-server,"Proxmox Server Solutions GmbH",Netgear-MS510TXPP,xg10,25,,,,1772250808,1772841278,0.85,server,oui,0.6,1,,my_device,,auto
738,CA:16:30:70:7F:88,192.168.90.15,Pixel-3,,"MF 20-36-26-D7-EE-60",port6,90,,,,1772250808,1772841278,0.7,phone,human,1.0,1,,my_device,,auto
739,70:85:C2:41:A9:6B,10.20.25.15,plex-dedicated,"ASRock Incorporation",Netgear-MS510TXPP,mg8,25,,,,1772250808,1772841278,0.85,,,0.0,1,,my_device,,auto
740,24:18:C6:5F:43:6A,,,"HUNAN FN-LINK TECHNOLOGY LIMITED",CRS326-Office,sfp-sfpplus2,,,,,1772250808,1772619847,0.3,media_server,traffic_pattern,0.8,0,,my_device,,auto
745,38:05:25:30:38:38,,,"IEEE Registration Authority",Netgear-MS510TXPP,xg10,25,,,,1772250808,1772841278,0.45,,,0.0,1,,unknown,,auto
746,00:16:3E:9C:50:AF,10.20.25.13,OpenCloud,"Xensource, Inc.",Netgear-MS510TXPP,xmg9,25,,,,1772250808,1772841278,0.85,,,0.0,1,,my_device,,auto
