id,device_id,mac_address,port_name,bridge,vlan_id,is_local,first_seen,last_seen
1,CRS326-Office,18:FD:74:37:EB:2F,bridge,bridge,,1,1772250748,1772841307
2,CRS326-Office,18:FD:74:37:EB:30,ether2,bridge,,1,1772250748,1772841309
3,CRS326-Office,18:FD:74:37:EB:36,ether8,bridge,,1,1772250748,1772841309
4,CRS326-Office,18:FD:74:37:EB:37,ether9,bridge,,1,1772250748,1772841308
5,CRS326-Office,18:FD:74:37:EB:38,ether10,bridge,,1,1772250748,1772841308
6,CRS326-Office,18:FD:74:37:EB:3A,ether12,bridge,,1,1772250748,1772841308
7,CRS326-Office,18:FD:74:37:EB:3F,ether17,bridge,,1,1772250748,1772841308
8,CRS326-Office,18:FD:74:37:EB:40,ether18,bridge,,1,1772250748,1772841308
9,CRS326-Office,18:FD:74:37:EB:41,ether19,bridge,,1,1772250748,1772841308
10,CRS326-Office,18:FD:74:37:EB:43,ether21,bridge,,1,1772250748,1772841308
11,CRS326-Office,18:FD:74:37:EB:44,ether22,bridge,,1,1772250748,1772841308
12,CRS326-Office,18:FD:74:37:EB:47,sfp-sfpplus1,bridge,,1,1772250748,1772841309
13,CRS326-Office,18:FD:74:37:EB:48,sfp-sfpplus2,bridge,,1,1772250748,1772841309
22,CRS326-Office,18:FD:74:37:EB:2F,ether1,bridge,,1,1772250748,1772841309
494070,rb4011,48:8F:5A:F2:8C:68,B-30-T-Wired,B-30-T-Wired,,1,1772519729,1772705702
494071,rb4011,48:8F:5A:F2:8C:69,B-VLANs,B-VLANs,,1,1772519729,1772705703
494072,rb4011,18:FD:74:37:EB:47,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841306
494074,rb4011,18:FD:74:37:EB:2F,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841307
494076,rb4011,28:80:88:6D:98:EC,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841307
494080,rb4011,B0:41:6F:16:3C:41,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494081,rb4011,BC:24:11:9C:99:D5,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494082,rb4011,BC:24:11:DB:F7:4F,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494083,rb4011,00:16:3E:1F:05:EC,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494084,rb4011,38:05:25:30:38:39,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494085,rb4011,3C:EC:EF:D0:85:6A,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494087,rb4011,70:85:C2:41:A9:6B,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494088,rb4011,B0:41:6F:12:74:16,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841243
494089,rb4011,BC:24:11:01:68:7A,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494090,rb4011,BC:24:11:0A:C8:EF,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494091,rb4011,BC:24:11:27:76:6B,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494092,rb4011,BC:24:11:2A:C6:57,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494094,rb4011,BC:24:11:52:4C:E7,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494095,rb4011,BC:24:11:99:92:B7,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494096,rb4011,00:E0:4C:68:00:43,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494097,rb4011,3C:EC:EF:D0:89:26,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494099,rb4011,6C:1F:F7:5A:9C:64,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494100,rb4011,78:55:36:07:B4:C6,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494105,rb4011,3C:31:74:E0:10:9C,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494108,rb4011,84:EA:ED:CD:E3:AC,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494109,rb4011,8C:49:62:53:0D:69,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494110,rb4011,8C:85:80:67:79:D0,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494111,rb4011,9C:50:D1:11:BC:94,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494113,rb4011,C4:65:16:CB:7F:FE,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494114,rb4011,EC:71:DB:A0:C8:38,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494115,rb4011,EC:71:DB:B2:01:34,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494116,rb4011,EC:71:DB:DB:56:81,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
494117,rb4011,EC:71:DB:EA:B4:00,1-sfp-sfpplus,B-VLANs,,0,1772519729,1772841308
